#,"",Player,Overall Score,Potential Score,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
19,18,Rúben Dias,88,91,187,82,25,Right,69.0,86.5,73.000000,70.666667,69.142857,48.375,9.4
20,19,Marquinhos,88,90,183,75,28,Right,74.0,89.0,81.666667,79.000000,77.714286,54.250,9.4
21,20,Joshua Kimmich,89,90,177,75,28,Right,83.5,81.5,85.333333,89.333333,78.000000,71.500,12.0
22,21,Cristiano Ronaldo,88,88,187,83,38,Right,84.0,28.0,74.000000,75.333333,77.428571,86.250,11.6
23,22,Lionel Messi,91,91,169,67,35,Left,94.0,29.5,76.500000,88.333333,79.285714,85.750,10.8
24,23,Kevin De Bruyne,91,91,181,75,31,Right,88.0,59.5,83.500000,93.333333,75.428571,82.625,11.2
25,24,Heung Min Son,88,88,183,78,30,Right,84.0,33.5,75.500000,79.333333,77.571429,81.125,10.6
26,25,Virgil van Dijk,89,89,193,92,31,Right,73.0,88.5,77.500000,72.666667,75.142857,65.000,11.6
27,26,Manuel Neuer,89,89,193,93,36,Right,38.0,10.5,49.333333,47.666667,54.857143,25.625,88.0
28,27,Toni Kroos,88,88,183,76,33,Right,84.0,66.5,80.500000,91.333333,60.000000,79.375,10.2
29,28,Bernardo Silva,88,88,173,64,28,Left,91.5,65.5,80.833333,83.333333,75.714286,72.875,10.8
30,29,N'Golo Kanté,88,88,168,70,31,Right,79.5,88.5,84.166667,75.000000,79.000000,57.875,10.8
31,30,Federico Valverde,86,91,182,78,24,Right,83.0,80.5,82.333333,83.666667,78.714286,72.875,9.0
32,31,Nicolò Barella,86,89,175,68,26,Right,83.5,80.0,84.666667,83.333333,83.285714,72.625,10.8
33,32,Ciro Immobile,86,86,185,85,33,Right,80.0,32.5,72.833333,63.666667,80.285714,79.875,9.4
34,33,Wojciech Szczęsny,86,86,195,90,32,Right,16.5,12.5,44.000000,26.666667,55.000000,19.875,83.0
35,34,Fabinho,86,86,188,78,29,Right,79.5,85.0,80.833333,80.333333,69.142857,68.750,9.4
36,35,Antonio Rüdiger,87,88,190,85,30,Right,68.0,85.5,74.833333,75.333333,73.428571,55.750,11.8
37,36,Bruno Fernandes,86,86,179,69,28,Right,81.5,69.0,82.333333,87.333333,75.857143,83.875,12.6
38,37,Parejo,86,86,182,74,33,Right,83.5,69.5,78.833333,89.333333,61.571429,81.375,9.6
39,38,Leon Goretzka,87,87,189,82,28,Right,85.0,81.0,84.333333,82.000000,79.571429,77.625,11.2
40,39,Christopher Nkunku,86,89,175,73,25,Right,88.5,59.0,76.666667,82.000000,79.142857,75.375,8.6
41,40,Keylor Navas,87,87,185,80,36,Right,27.0,14.0,46.833333,29.333333,58.857143,20.875,84.0
42,41,Aymeric Laporte,86,87,191,85,28,Left,70.5,86.5,76.500000,74.000000,66.000000,57.250,9.0
43,42,Kevin Trapp,86,86,189,84,32,Right,17.0,12.0,43.000000,16.666667,52.571429,18.875,83.6
44,43,Paulo Dybala,86,86,177,75,29,Left,91.5,40.0,69.333333,82.333333,77.857143,82.875,5.2
45,44,Vinícius Jr.,86,92,176,73,22,Right,90.5,21.5,67.000000,73.333333,84.000000,70.250,7.2
46,45,Andrew Robertson,86,86,178,64,28,Left,82.0,82.0,82.166667,81.666667,75.714286,62.875,10.0
47,46,De Gea,87,87,192,76,32,Right,26.0,17.0,45.166667,38.333333,53.285714,23.000,83.6
48,47,Thiago Silva,86,86,183,79,38,Right,73.0,85.0,78.000000,74.333333,65.285714,62.750,9.0
49,48,Marcelo Brozović,86,86,181,68,30,Right,81.5,83.0,80.833333,80.666667,76.142857,73.750,10.0
50,49,Kalidou Koulibaly,86,86,186,89,31,Right,71.0,87.5,74.666667,63.333333,68.571429,52.750,8.6
51,50,Lautaro Martínez,86,89,174,72,25,Right,85.0,37.5,79.500000,69.000000,84.857143,78.000,9.6
52,51,Marco Verratti,87,87,165,60,30,Right,91.5,83.0,87.166667,87.000000,71.000000,64.000,12.8
53,52,Sergej Milinković-Savić,86,87,192,76,28,Right,86.0,76.5,81.833333,81.000000,75.142857,78.000,9.4
54,53,João Cancelo,87,87,182,74,28,Right,85.5,81.0,82.000000,84.333333,78.857143,71.250,11.6
55,54,David Alaba,86,86,180,78,30,Left,81.0,83.5,81.500000,84.000000,77.857143,76.000,10.0
56,55,Jude Bellingham,85,91,186,75,19,Right,85.0,77.0,82.333333,79.000000,78.142857,67.750,9.6
57,56,Yann Sommer,86,86,183,79,34,Right,20.0,15.5,46.500000,28.000000,57.285714,19.250,83.4
58,57,Thiago,86,86,174,70,31,Right,90.5,75.5,82.333333,85.333333,75.000000,73.625,9.2
59,58,Mike Maignan,87,90,191,89,27,Right,35.5,17.5,47.833333,42.666667,55.857143,25.125,85.2
60,59,Milan Škriniar,86,87,187,80,28,Right,67.0,86.5,70.333333,61.666667,74.428571,45.375,11.0
61,60,Niklas Süle,85,87,195,99,27,Right,60.5,88.0,73.166667,68.000000,62.571429,50.750,11.6
62,61,Emiliano Martínez,85,85,195,88,30,Right,27.5,20.0,45.333333,46.000000,54.857143,27.125,83.4
63,62,Raphaël Varane,85,85,191,81,29,Right,68.0,84.5,73.833333,65.666667,70.428571,52.375,10.0
64,63,İlkay Gündoğan,85,85,180,80,32,Right,87.5,71.0,81.000000,83.000000,70.142857,76.250,9.6
65,64,Matthijs de Ligt,85,89,189,89,23,Right,69.0,85.5,70.000000,64.666667,73.142857,58.875,11.2
66,65,Trent Alexander-Arnold,85,88,180,69,24,Right,81.0,79.5,80.166667,89.666667,74.000000,72.250,11.2
67,66,Gregor Kobel,85,89,195,88,25,Right,29.0,15.0,42.500000,28.333333,48.142857,17.000,82.2
68,67,Antoine Griezmann,85,85,176,73,31,Left,85.5,59.5,80.166667,82.333333,81.142857,84.000,12.6
69,68,Paul Pogba,85,85,191,84,29,Right,88.0,65.0,78.166667,84.000000,71.428571,81.625,4.0
70,69,Kyle Walker,85,85,183,83,32,Right,80.0,83.5,76.833333,79.333333,80.142857,68.375,11.4
71,70,Martin Ødegaard,85,89,178,68,24,Left,86.5,50.0,75.500000,85.666667,71.428571,74.125,12.4
72,71,Raheem Sterling,85,85,170,69,28,Right,84.0,50.0,70.833333,75.333333,80.000000,71.500,12.6
73,72,Marcos Acuña,85,85,172,69,31,Left,86.5,84.5,83.166667,82.666667,80.285714,74.625,12.4
74,73,Theo Hernández,85,90,184,81,25,Left,81.0,80.5,79.666667,77.000000,82.714286,68.375,8.6
75,74,Riyad Mahrez,85,85,179,67,32,Left,89.5,26.5,69.666667,79.333333,75.428571,76.875,10.8
76,75,Gerard Moreno,85,85,180,77,30,Left,84.5,41.0,71.833333,77.000000,76.428571,80.125,11.2
77,76,Yassine Bounou,85,85,195,78,31,Left,16.0,16.5,41.666667,32.666667,44.428571,21.750,82.6
78,77,Édouard Mendy,85,86,197,86,31,Right,24.5,12.0,39.333333,39.333333,42.857143,16.750,83.0
79,78,Diogo Jota,85,88,178,73,26,Right,84.5,51.0,79.000000,74.000000,81.714286,76.625,10.8
80,79,Nabil Fekir,85,85,173,75,29,Left,87.5,37.0,76.333333,80.333333,81.142857,76.500,12.2
81,80,Jordi Alba,85,85,170,68,33,Left,81.5,78.5,79.166667,84.333333,80.571429,69.000,12.0
82,81,Memphis Depay,85,85,176,78,29,Right,87.0,25.5,72.333333,80.333333,79.714286,79.750,10.0
83,82,Sergio Busquets,85,85,189,76,34,Right,82.5,82.5,82.166667,78.000000,58.571429,61.750,9.6
84,83,Thomas Müller,85,85,185,76,33,Right,80.0,51.5,79.500000,83.000000,69.714286,76.875,10.4
85,84,Marco Reus,85,85,180,71,33,Right,86.0,53.0,74.833333,82.666667,72.285714,79.250,12.2
86,85,Kingsley Coman,85,86,181,75,26,Right,87.5,24.0,64.166667,78.333333,81.000000,73.875,4.2
87,86,Romelu Lukaku,85,85,191,94,29,Left,80.0,35.5,70.666667,73.666667,72.142857,81.000,10.8
88,87,Phil Foden,85,92,171,69,22,Left,88.0,53.0,75.500000,81.666667,75.000000,69.000,10.4
89,88,Pedri,85,92,174,61,20,Right,87.5,68.0,78.500000,80.000000,80.285714,62.625,9.2
90,89,Iago Aspas,85,85,176,67,35,Left,86.5,19.5,73.000000,77.333333,73.857143,81.625,12.4
91,90,Péter Gulácsi,85,85,191,86,32,Right,22.0,18.0,39.666667,27.333333,49.571429,20.625,82.6
92,91,Luis Díaz,84,85,180,73,26,Right,88.0,36.0,69.833333,74.333333,81.714286,72.250,12.8
93,92,Jules Koundé,84,89,181,75,24,Right,73.0,84.0,72.833333,67.000000,79.571429,44.750,11.2
94,93,Alphonso Davies,84,89,185,77,22,Left,84.5,74.0,78.500000,78.000000,84.714286,63.000,9.4
95,94,Federico Chiesa,84,87,175,70,25,Right,85.5,46.0,71.333333,75.000000,80.000000,72.750,7.4
96,95,Gabriel Jesus,84,86,175,73,25,Right,87.5,29.0,74.333333,73.666667,83.714286,75.875,9.6
97,96,Ousmane Dembélé,84,87,178,67,25,Left,88.0,31.5,68.333333,80.666667,76.428571,71.750,9.8
98,97,Victor Osimhen,84,90,185,78,24,Right,80.0,33.5,70.666667,62.333333,83.285714,73.250,10.6
99,98,Marcos Llorente,84,84,184,74,28,Right,83.0,76.5,82.166667,80.000000,80.142857,72.125,10.2
100,99,Domenico Berardi,84,84,183,72,28,Left,86.5,30.0,72.833333,80.333333,78.000000,76.750,5.4
101,100,Éder Militão,84,89,186,78,25,Right,72.0,85.0,75.333333,74.666667,79.000000,53.500,12.2
102,101,Leroy Sané,84,84,183,80,27,Left,85.5,33.5,70.500000,77.666667,78.285714,80.000,10.4
103,102,Rafael Leão,84,90,188,81,23,Right,87.5,22.5,67.333333,71.333333,80.428571,71.500,11.4
104,103,Franck Yannick Kessié,84,86,183,88,26,Right,81.0,81.0,80.500000,74.666667,79.142857,70.750,10.8
105,104,Sandro Tonali,84,90,181,79,22,Right,79.0,78.0,80.666667,81.000000,79.428571,73.375,8.8
106,105,Moussa Diaby,84,88,171,67,23,Left,86.5,40.5,70.333333,76.000000,80.285714,59.125,9.4
107,106,Fikayo Tomori,84,90,185,79,25,Right,63.5,85.5,69.666667,64.666667,79.285714,44.250,10.2
108,107,Declan Rice,84,87,185,80,24,Right,78.5,82.0,78.333333,74.000000,72.428571,65.375,9.4
109,108,Dušan Vlahović,84,91,190,75,23,Left,83.0,25.0,69.000000,62.333333,73.428571,80.500,9.4
110,109,Reece James,84,88,178,87,23,Right,82.5,82.0,80.500000,83.000000,79.571429,73.000,10.2
111,110,Pierre-Emile Højbjerg,84,86,187,84,27,Right,79.5,79.0,80.833333,78.666667,67.428571,70.500,10.0
112,111,Hugo Lloris,85,85,188,82,36,Left,20.5,15.0,43.333333,40.000000,55.142857,20.375,81.2
113,112,Bukayo Saka,84,90,178,65,21,Left,86.5,68.0,77.000000,75.666667,76.571429,72.000,10.0
114,113,Lucas Hernández,84,85,184,79,27,Left,70.5,84.0,76.500000,72.666667,75.428571,54.250,9.8
115,114,Achraf Hakimi,84,87,181,73,24,Right,80.5,76.0,76.833333,79.333333,83.857143,72.625,9.2
116,115,Lorenzo Pellegrini,84,87,186,77,26,Right,84.5,74.5,80.333333,82.333333,79.142857,76.875,10.6
117,116,James Maddison,84,85,175,73,26,Right,86.0,53.5,75.166667,84.000000,71.142857,75.500,13.0
118,117,Youri Tielemans,84,86,176,72,25,Right,81.5,70.0,78.333333,86.000000,67.428571,79.000,10.0
119,118,Rodrigo Javier De Paul,84,84,180,70,28,Right,83.5,78.0,81.166667,82.666667,78.571429,73.625,11.2
120,119,Alessandro Bastoni,84,89,190,75,23,Left,73.0,85.0,74.833333,76.000000,71.142857,45.625,9.6
121,120,Sergio Ramos,84,84,184,82,36,Right,70.5,82.5,80.833333,73.666667,68.571429,75.250,9.2
122,121,Lisandro Martínez,83,88,178,77,25,Left,77.5,83.5,79.166667,79.666667,79.571429,62.375,11.0
123,122,Alejandro Gómez,84,84,167,68,35,Right,85.0,32.0,70.833333,81.666667,77.000000,72.625,9.2
124,123,Bruno Guimarães,83,87,182,74,25,Right,84.0,81.0,82.500000,79.000000,74.428571,67.750,11.0
125,124,Canales,84,84,176,65,32,Left,83.0,68.0,80.666667,83.666667,74.571429,75.750,13.6
126,125,Jamal Musiala,83,92,184,72,20,Right,88.5,66.0,74.833333,73.000000,75.428571,62.500,8.4
127,126,João Félix,83,89,181,72,23,Right,87.5,38.5,73.833333,78.666667,78.428571,76.250,13.2
128,127,Filip Kostić,84,84,184,84,30,Left,83.0,70.0,77.833333,83.333333,79.714286,75.125,12.8
129,128,Muniain,84,84,170,66,30,Right,88.0,46.5,73.333333,79.333333,77.428571,71.875,9.0
130,129,Yannick Carrasco,84,84,181,73,29,Right,87.0,62.5,72.500000,78.000000,76.857143,77.625,9.8
131,130,Ronald Araujo,83,89,188,79,23,Right,60.5,84.0,72.833333,66.666667,73.571429,51.250,10.6
132,131,Thomas Partey,84,84,185,77,29,Right,83.5,82.0,81.500000,81.333333,71.714286,67.750,9.8
133,132,Jorginho,84,84,178,68,31,Right,83.0,75.5,79.833333,84.666667,66.714286,70.500,11.2
134,133,Stefan de Vrij,84,84,189,78,31,Right,69.5,86.0,72.666667,65.000000,70.571429,47.875,10.4
135,134,Serge Gnabry,84,84,176,77,27,Right,83.5,43.5,71.666667,77.333333,76.428571,72.875,10.0
136,135,Cody Gakpo,83,88,189,76,23,Right,85.0,33.0,69.666667,75.666667,78.571429,76.750,9.4
137,136,Pau Torres,83,88,191,80,26,Left,71.5,84.0,70.666667,71.000000,72.571429,45.875,11.8
138,137,Bremer,83,87,188,82,25,Right,63.5,85.0,71.000000,61.333333,76.285714,48.500,10.4
139,138,Wissam Ben Yedder,84,84,170,68,32,Right,87.5,29.5,74.166667,74.333333,80.285714,80.875,8.4
140,139,Mats Hummels,84,84,191,94,34,Right,73.0,85.5,78.333333,76.666667,63.571429,64.250,8.4
141,140,Stefan Savić,84,84,187,80,32,Right,56.5,84.5,69.666667,59.666667,68.142857,40.250,13.2
142,141,Edin Džeko,84,84,193,80,36,Right,80.5,22.0,74.000000,71.666667,66.000000,75.000,12.6
143,142,Kieran Trippier,84,84,173,71,32,Right,79.5,82.0,80.000000,83.666667,73.428571,72.750,10.8
144,143,Ángel Di María,84,84,180,69,35,Left,90.5,53.5,76.500000,83.666667,75.714286,78.250,10.2
145,144,Dries Mertens,84,84,169,61,35,Right,86.5,40.0,70.166667,76.333333,70.714286,74.375,7.8
146,145,Aurélien Tchouaméni,83,89,187,81,23,Right,79.0,79.5,81.333333,79.333333,75.428571,66.000,9.6
147,146,Koen Casteels,84,85,197,86,30,Left,18.5,18.0,37.666667,29.000000,51.000000,21.500,83.0
148,147,Jack Grealish,84,84,180,81,27,Right,87.5,47.0,73.666667,82.333333,72.000000,68.625,10.2
149,148,Carvajal,84,84,173,73,31,Right,80.5,81.5,78.166667,79.333333,80.000000,56.625,13.0
150,149,Hakan Çalhanoğlu,84,84,178,76,29,Right,86.5,67.5,80.166667,84.000000,68.000000,78.250,10.0
151,150,Thomas Lemar,83,84,171,66,27,Left,87.0,72.5,78.000000,82.000000,78.000000,75.125,12.0
152,151,Fabián Ruiz,83,85,189,70,26,Left,86.5,76.5,79.166667,79.000000,66.285714,72.250,12.0
153,152,Merino,83,86,189,83,26,Left,84.0,80.0,81.666667,81.000000,76.714286,75.500,11.4
154,153,Ángel Correa,83,84,171,70,27,Right,87.0,48.5,76.333333,74.333333,79.142857,77.625,11.2
155,154,Kai Havertz,83,89,190,82,23,Left,85.0,42.0,70.500000,78.666667,75.857143,75.625,9.4
156,155,Hakim Ziyech,83,83,181,65,29,Left,83.5,49.0,75.833333,87.666667,68.142857,74.625,10.2
157,156,Cristian Romero,83,88,185,79,24,Right,64.0,85.5,72.000000,60.000000,74.142857,50.250,9.4
158,157,Mason Mount,83,86,181,74,24,Right,82.5,50.5,76.333333,84.333333,71.285714,76.750,11.2
159,158,Raphinha,83,84,176,68,26,Left,85.5,46.0,75.500000,76.333333,81.857143,74.250,10.0
160,159,Dayot Upamecano,83,87,186,90,24,Right,70.0,86.0,70.500000,65.666667,76.428571,43.375,9.0
161,160,Ferland Mendy,83,84,180,73,27,Left,76.5,80.5,79.333333,79.666667,85.000000,60.500,10.2
162,161,Patrik Schick,83,84,191,86,27,Left,83.5,21.5,69.166667,68.666667,76.142857,75.500,11.4
163,162,Jadon Sancho,83,87,180,76,22,Right,87.5,31.0,65.666667,77.000000,71.142857,67.625,10.4
164,163,Daichi Kamada,83,84,184,76,26,Right,84.5,43.5,70.833333,80.333333,75.142857,70.500,8.8
165,164,Duván Zapata,83,83,189,88,31,Right,81.5,23.0,68.000000,59.666667,76.285714,74.500,8.0
166,165,Presnel Kimpembe,83,86,189,80,27,Left,70.5,85.0,74.000000,71.333333,76.000000,48.375,10.6
167,166,José María Giménez,83,85,185,79,28,Right,60.5,85.0,65.833333,62.000000,71.142857,49.375,10.4
168,167,Grimaldo,83,84,171,67,27,Left,83.5,77.0,78.500000,81.666667,80.000000,71.750,10.0
169,168,Ronaldo Cabrais,83,83,177,75,31,Right,84.0,34.0,72.000000,82.666667,79.857143,76.875,13.0
170,169,Piotr Zieliński,83,83,180,75,28,Right,87.0,71.5,75.166667,79.666667,73.428571,70.875,10.0
171,170,Unai Simón,83,86,190,89,25,Right,14.0,15.0,40.000000,31.333333,52.571429,22.250,81.6
172,171,Carlos Soler,83,86,180,76,26,Right,80.5,73.5,76.833333,82.000000,74.571429,75.500,10.2
173,172,Rafa,83,83,172,66,29,Right,85.5,43.0,72.666667,77.000000,79.142857,68.250,10.2
174,173,Marcus Rashford,83,86,186,70,25,Right,83.5,35.5,71.500000,74.333333,79.285714,80.375,10.6
175,174,Marco Asensio,83,83,182,76,27,Left,85.0,40.5,68.333333,81.333333,73.714286,76.375,10.0
176,175,Rúben Neves,83,86,180,80,25,Right,78.5,78.0,80.000000,85.333333,67.714286,76.500,11.2
177,176,Matthias Ginter,83,84,189,86,29,Right,68.0,82.0,73.833333,74.666667,64.857143,58.625,9.2
178,177,Konrad Laimer,83,84,180,72,25,Right,79.5,77.5,80.833333,79.666667,77.428571,63.625,11.6
179,178,Mateo Kovačić,83,83,177,80,28,Right,89.0,72.0,79.500000,82.000000,75.285714,67.875,6.8
180,179,Oyarzabal,83,85,181,79,25,Left,84.5,31.0,68.500000,78.666667,74.571429,77.375,10.0
181,180,Lucas Paquetá,82,87,180,72,25,Left,87.0,67.5,79.666667,77.333333,75.571429,75.000,11.4
182,181,Christian Eriksen,83,83,181,76,31,Right,83.5,39.5,72.333333,89.000000,63.428571,77.625,8.6
183,182,Florian Wirtz,82,91,176,72,19,Right,87.0,50.5,71.833333,80.333333,71.857143,64.000,11.4
184,183,Chris Smalling,83,83,194,81,33,Right,62.0,85.5,73.833333,60.333333,65.571429,48.625,14.2
185,184,Arnaut Danjuma,82,83,178,74,26,Right,83.5,49.5,68.500000,74.333333,78.000000,75.125,11.0
186,185,Mehdi Taremi,82,82,185,83,30,Right,83.0,33.0,68.000000,73.000000,75.857143,73.375,10.4
187,186,Samir Handanovič,83,83,193,92,38,Right,19.5,11.5,40.000000,31.333333,49.714286,19.625,79.4
188,187,David Silva,83,83,173,67,37,Left,85.0,41.0,75.166667,85.333333,65.857143,72.625,9.2
189,188,Tammy Abraham,82,86,195,86,25,Right,81.0,24.5,69.833333,61.000000,73.714286,73.625,10.6
190,189,Pierre-Emerick Aubameyang,83,83,187,80,33,Right,79.0,32.5,69.333333,70.333333,74.428571,80.500,9.6
191,190,Lorenzo Insigne,83,83,163,59,31,Right,87.5,23.0,63.500000,81.333333,72.285714,77.500,9.0
192,191,Luis Alberto,83,83,183,74,30,Right,86.0,55.0,68.500000,83.000000,63.571429,71.750,8.6
193,192,Antony,82,88,172,63,23,Left,87.5,38.0,73.666667,71.666667,77.571429,70.875,10.8
194,193,Noussair Mazraoui,82,85,183,65,25,Right,83.5,79.0,77.833333,79.333333,77.857143,59.250,11.2
195,194,Ferran Torres,82,88,184,77,23,Right,84.0,26.0,70.000000,79.333333,78.000000,74.250,11.8
196,195,Aaron Ramsdale,82,86,191,77,24,Right,26.5,15.5,47.666667,41.000000,51.285714,22.750,81.4
197,196,William Saliba,82,89,193,85,21,Right,75.5,84.0,72.000000,71.000000,71.000000,45.000,8.4
198,197,Nick Pope,83,83,199,76,30,Right,20.0,14.5,43.833333,31.666667,51.285714,19.625,81.2
199,198,Josué Chiamulera,82,82,185,80,31,Right,63.0,84.5,68.000000,58.333333,73.571429,51.125,13.8
200,199,Joško Gvardiol,82,89,185,80,21,Left,75.5,84.0,74.166667,70.333333,77.285714,60.625,7.8
201,200,Dani Olmo,82,87,179,72,24,Right,86.0,47.0,73.000000,80.333333,70.428571,70.250,13.2
202,201,Gabriel,82,86,190,87,25,Left,59.5,82.5,70.333333,63.333333,63.571429,42.375,10.0
203,202,Darwin Núñez,82,89,187,80,23,Right,76.0,36.0,74.500000,66.666667,82.571429,76.625,11.8
204,203,Fernando,83,83,183,76,35,Right,73.5,83.5,77.666667,74.333333,71.285714,62.500,5.8
205,204,Pedro Porro,82,88,173,69,23,Right,82.0,76.5,77.166667,77.000000,76.714286,70.625,9.6
206,205,Pedro Gonçalves,82,87,173,77,24,Right,83.5,54.5,78.166667,78.666667,72.428571,73.500,11.2
207,206,Roberto Firmino,83,83,181,76,31,Right,87.5,53.0,78.833333,77.666667,79.428571,75.500,8.8
208,207,Denzel Dumfries,82,84,188,80,26,Right,74.0,78.0,75.333333,74.666667,80.714286,57.875,10.8
209,208,John Stones,83,84,188,76,28,Right,78.0,85.0,74.500000,74.000000,72.000000,52.625,10.2
210,209,Eden Hazard,83,83,175,74,32,Right,87.0,24.5,71.166667,80.333333,74.857143,78.000,9.0
211,210,Giovanni Di Lorenzo,82,82,183,83,29,Right,76.5,77.5,74.500000,75.333333,82.142857,66.625,8.6
212,211,Alejandro Remiro Gargallo,82,84,192,79,27,Right,22.5,17.5,38.500000,25.666667,53.714286,20.750,81.4
213,212,Manuel Locatelli,82,86,185,75,25,Right,81.0,79.0,77.833333,80.333333,69.000000,69.250,11.8
214,213,Diego Carlos,82,82,186,79,29,Right,68.0,80.5,73.000000,61.666667,68.142857,54.250,9.8
215,214,David Soria,82,82,192,85,29,Right,17.5,13.0,39.500000,24.000000,50.428571,24.000,80.2
216,215,Julian Brandt,82,85,183,83,26,Right,86.0,46.5,71.000000,82.666667,73.714286,72.125,11.0
217,216,Vincenzo Grifo,82,82,180,76,29,Right,82.5,30.5,68.500000,81.000000,70.857143,77.375,10.4
218,217,Otávio,82,82,171,67,28,Right,85.5,60.5,77.500000,79.333333,76.000000,69.250,11.4
219,218,Ismaël Bennacer,82,86,175,70,25,Left,85.5,78.0,79.500000,80.000000,79.857143,69.000,12.4
220,219,André Onana,82,84,190,93,26,Right,32.0,16.0,44.500000,37.000000,62.142857,25.125,82.0
221,220,Wilfred Ndidi,82,83,183,74,26,Right,71.5,84.0,75.666667,68.000000,74.428571,63.625,10.8
222,221,Guido Rodríguez,82,83,185,80,27,Right,72.5,85.0,75.500000,72.000000,56.142857,58.125,11.8
223,222,Andreas Christensen,82,86,188,81,26,Right,71.5,83.5,69.500000,68.000000,68.571429,39.250,8.8
224,223,Anderson Souza Conceição,82,82,190,80,29,Left,83.5,48.5,72.666667,76.333333,76.571429,81.500,11.8
225,224,Borja Iglesias,82,82,187,86,30,Right,77.0,31.5,69.500000,63.000000,70.285714,76.125,14.2
226,225,André Silva,82,83,185,84,27,Right,83.0,37.0,76.833333,67.333333,77.428571,76.750,10.6
227,226,Lucas Mantela,82,82,183,77,23,Right,20.0,17.5,40.500000,20.000000,51.285714,22.875,81.8
228,227,Ricardo Pereira,82,82,175,70,29,Right,82.0,83.5,79.166667,80.333333,75.000000,65.375,13.0
229,228,Palhinha,82,84,190,85,27,Right,76.5,84.5,77.666667,71.333333,71.714286,62.500,9.2
230,229,Angeliño,82,84,171,69,26,Left,84.5,75.0,79.500000,83.000000,76.857143,70.125,11.6
231,230,Manuel Akanji,82,83,187,91,27,Right,73.0,83.5,70.166667,72.333333,75.285714,54.375,9.4
232,231,Robin Gosens,82,82,183,76,28,Left,80.5,78.5,77.333333,79.666667,78.857143,69.750,12.8
233,232,Gayà,82,83,172,66,27,Left,78.5,81.5,77.500000,77.666667,76.142857,60.875,10.6
234,233,André-Franck Zambo Anguissa,82,84,184,78,27,Right,82.0,80.5,81.333333,72.000000,79.714286,62.500,10.0
235,234,Ben Chilwell,82,85,180,77,26,Left,80.0,81.0,76.333333,79.333333,75.857143,62.875,9.6
236,235,Stanislav Lobotka,82,82,170,64,28,Right,82.5,77.0,77.000000,79.666667,76.428571,61.750,12.0
237,236,Gerónimo Rulli,82,82,189,84,30,Right,14.5,15.0,43.500000,26.000000,56.571429,22.875,81.0
238,237,Timo Werner,82,84,180,76,27,Right,82.5,19.5,69.666667,67.666667,79.714286,75.375,10.0
239,238,Raúl de Tomás,82,82,180,79,28,Right,82.5,33.5,72.500000,74.000000,77.428571,80.500,10.2
240,239,Rodrigo Bentancur,82,86,187,73,25,Right,85.0,80.5,80.000000,81.333333,74.857143,67.000,11.0
241,240,Nacho Fernández,82,82,180,76,33,Right,70.5,82.0,68.000000,73.666667,75.857143,46.000,10.2
242,241,Steven Berghuis,82,82,182,75,31,Left,82.5,33.5,72.500000,83.333333,72.857143,77.250,9.8
243,242,Francesco Acerbi,82,82,192,88,35,Left,68.5,85.0,68.666667,62.666667,58.857143,58.750,10.6
