"",name,current_club_name,country_of_citizenship,position,sub_position,market_value_in_eur,contract_expiration_date,current_club_domestic_competition_id,overall_score,potential_score,Height,Weight,Age,preferred_foot,ball_skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
21,Adrian Grbic,Fc Lorient,Austria,Attack,Centre-Forward,1200000.0,2025-06-30,FR1,68,71,188,82,26,Right,65.0,21.0,54.833333,50.000000,65.428571,69.500,10.4
22,Pablo Pagis,Fc Lorient,France,Attack,Centre-Forward,600000.0,2023-06-30,FR1,60,76,181,67,20,Right,58.0,18.0,44.000000,41.666667,61.428571,56.375,8.8
23,Sambou Soumano,Fc Lorient,Senegal,Attack,Centre-Forward,900000.0,2023-06-30,FR1,67,76,182,75,22,Right,71.5,18.5,47.500000,47.333333,61.714286,58.125,9.2
24,Quentin Boisgard,Fc Lorient,France,Attack,Attacking Midfield,1500000.0,2023-06-30,FR1,70,73,174,75,25,Right,73.0,58.5,64.166667,72.666667,64.000000,62.250,8.4
26,Thomas Monconduit,Fc Lorient,France,Midfield,Defensive Midfield,1000000.0,2025-06-30,FR1,72,72,184,83,32,Right,67.5,70.0,68.666667,69.000000,62.571429,60.500,12.2
27,Ronny Labonne,Fc Lorient,France,Defender,Right-Back,500000.0,2024-06-30,FR1,60,65,180,76,25,Right,61.0,61.0,56.166667,58.333333,66.000000,39.875,9.4
28,Samuel Loric,Fc Lorient,France,Defender,Left-Back,500000.0,2023-06-30,FR1,64,71,183,73,22,Left,62.0,70.0,53.333333,50.666667,62.571429,33.875,9.8
29,Loris Mouyokolo,Fc Lorient,France,Defender,Centre-Back,500000.0,2023-06-30,FR1,63,73,194,85,21,Right,45.0,65.5,48.833333,41.333333,61.285714,39.625,9.4
30,Matthieu Dreyer,Fc Lorient,France,Goalkeeper,Goalkeeper,300000.0,2024-06-30,FR1,71,71,188,81,33,Right,18.5,12.0,30.833333,26.333333,50.857143,17.375,70.6
31,Thomas Callens,Fc Lorient,France,Goalkeeper,Goalkeeper,150000.0,2023-06-30,FR1,59,65,182,81,24,Left,12.0,10.5,26.333333,17.666667,35.714286,15.000,60.2
32,Leo Petrot,Fc Lorient,France,Defender,Centre-Back,700000.0,2025-06-30,FR1,69,73,188,81,25,Left,53.0,72.5,54.166667,49.666667,64.285714,39.000,9.6
35,Dalcio,Ionikos Nikeas,Guinea-Bissau,Midfield,Central Midfield,600000.0,2024-05-31,GR1,67,70,180,67,26,Left,72.0,63.0,64.333333,63.000000,69.000000,59.375,9.2
37,Luan Sendeiro,Ionikos Nikeas,Brazil,Defender,Centre-Back,300000.0,2024-06-30,GR1,70,70,181,78,31,Right,62.0,65.0,62.666667,71.666667,63.428571,58.500,13.0
38,Bachana Arabuli,Pas Lamia 1964,Georgia,Attack,Centre-Forward,400000.0,2023-06-30,GR1,61,61,188,72,29,Left,59.0,34.0,57.333333,50.333333,65.571429,57.125,9.6
41,Ashley Barnes,Fc Burnley,England,Attack,Centre-Forward,1000000.0,2023-06-30,GB1,70,70,186,84,33,Right,69.0,42.5,70.166667,67.000000,65.857143,68.750,9.4
42,Matej Vydra,Fc Burnley,Czech Republic,Attack,Centre-Forward,1700000.0,2025-06-30,GB1,73,73,180,71,30,Right,73.5,31.0,62.166667,66.333333,76.285714,71.250,12.2
43,Jay Rodriguez,Fc Burnley,England,Attack,Centre-Forward,1200000.0,2024-06-30,GB1,74,74,185,84,33,Right,73.0,25.5,65.000000,68.333333,68.428571,73.125,12.6
49,Josh Brownhill,Fc Burnley,England,Midfield,Central Midfield,9000000.0,2024-06-30,GB1,75,76,180,69,27,Right,75.0,72.5,75.333333,70.666667,74.571429,65.250,9.4
50,Phil Bardsley,Fc Burnley,Scotland,Defender,Right-Back,250000.0,2023-06-30,GB1,67,67,180,79,37,Right,65.0,69.5,67.500000,66.000000,57.285714,54.375,9.0
51,Matthew Lowton,Fc Burnley,England,Defender,Right-Back,400000.0,2023-05-31,GB1,73,73,180,78,33,Right,72.5,72.5,71.166667,72.000000,66.714286,62.000,8.6
52,Jack Cork,Fc Burnley,England,Midfield,Defensive Midfield,1200000.0,2024-06-30,GB1,74,74,184,75,33,Right,69.0,72.0,70.166667,72.333333,61.857143,63.875,10.4
53,Ashley Westwood,Fc Burnley,England,Midfield,Defensive Midfield,1000000.0,2023-06-30,GB1,75,75,175,73,32,Right,71.0,72.0,72.500000,76.333333,68.714286,66.500,10.2
55,Charlie Taylor,Fc Burnley,England,Defender,Left-Back,3000000.0,2024-06-30,GB1,74,74,185,70,29,Left,72.0,74.0,70.166667,70.333333,71.142857,57.125,10.8
56,Bobby Thomas,Fc Burnley,England,Defender,Centre-Back,150000.0,2023-05-31,GB1,64,74,191,77,22,Right,47.5,64.0,52.500000,44.666667,59.285714,38.250,11.0
57,Erik Pieters,Fc Burnley,Netherlands,Defender,Left-Back,400000.0,2023-06-30,GB1,70,70,183,87,34,Left,70.5,72.5,70.666667,69.000000,61.285714,51.125,12.2
58,Connor Roberts,Fc Burnley,Wales,Defender,Right-Back,6000000.0,2025-06-30,GB1,74,75,175,76,27,Right,70.0,69.5,64.833333,68.000000,74.285714,51.375,10.2
59,Will Norris,Fc Burnley,England,Goalkeeper,Goalkeeper,200000.0,2023-06-30,GB1,65,65,195,81,29,Left,16.0,16.5,34.500000,25.000000,47.000000,17.375,63.8
60,Kevin Long,Fc Burnley,Ireland,Defender,Centre-Back,500000.0,2023-06-30,GB1,69,69,188,83,32,Right,54.0,69.5,62.166667,50.666667,56.000000,39.000,8.8
61,Bailey Peacock Farrell,Fc Burnley,Northern Ireland,Goalkeeper,Goalkeeper,900000.0,2024-06-30,GB1,68,73,193,73,26,Left,31.0,20.0,37.500000,36.666667,53.285714,20.875,68.0
62,Lukas Jensen,Fc Burnley,Denmark,Goalkeeper,Goalkeeper,200000.0,2023-05-31,GB1,60,70,198,90,23,Right,12.5,13.5,27.666667,25.333333,36.000000,16.250,59.2
63,Kevin Yamga,Vejle Boldklub,France,Attack,Right Winger,850000.0,2023-06-30,DK1,75,75,173,72,29,Right,70.0,78.5,64.500000,71.000000,63.142857,52.750,12.8
64,Kevin Yamga,Vejle Boldklub,France,Attack,Right Winger,850000.0,2023-06-30,DK1,67,77,173,69,22,Right,70.0,32.0,53.500000,63.666667,68.714286,50.500,9.8
65,Denis Kolinger,Vejle Boldklub,Croatia,Defender,Centre-Back,750000.0,2023-06-30,DK1,67,68,199,92,29,Right,44.0,62.5,52.333333,46.000000,58.285714,38.500,10.8
66,Sten Michael Grytebust,Vejle Boldklub,Norway,Goalkeeper,Goalkeeper,500000.0,2023-12-31,DK1,68,68,187,82,33,Right,26.0,16.0,39.666667,30.000000,49.714286,19.000,67.6
67,Alexander Brunst,Vejle Boldklub,Germany,Goalkeeper,Goalkeeper,200000.0,2024-06-30,DK1,65,67,195,88,27,Right,20.5,15.5,30.000000,27.000000,42.428571,20.875,64.6
68,Jason Cummings,Dundee Fc,Australia,Attack,Centre-Forward,900000.0,2024-06-30,SC1,69,70,178,63,27,Left,65.5,36.0,63.666667,51.333333,70.285714,65.375,11.0
69,Max Anderson,Dundee Fc,Scotland,Attack,Attacking Midfield,350000.0,2023-05-31,SC1,66,69,184,84,25,Right,64.0,60.5,54.666667,55.000000,76.000000,44.625,8.6
70,Max Anderson,Dundee Fc,Scotland,Attack,Attacking Midfield,350000.0,2023-05-31,SC1,63,74,175,73,21,Left,65.0,37.5,51.833333,60.000000,62.571429,49.375,10.2
72,Vontae Daley Campbell,Dundee Fc,England,Defender,Right-Back,800000.0,2025-06-30,SC1,60,65,183,74,21,Right,53.5,56.5,51.500000,53.000000,67.571429,41.625,11.2
73,Zeno Ibsen Rossi,Dundee Fc,England,Defender,Centre-Back,300000.0,2025-06-30,SC1,62,74,194,83,22,Right,43.0,62.5,49.833333,49.666667,66.142857,37.875,7.6
74,Tarsis Bonga,Vfl Bochum,Germany,Attack,Right Winger,300000.0,2023-06-30,L1,65,66,197,93,26,Right,66.5,24.0,51.833333,51.000000,67.142857,50.875,10.2
75,Danny Blum,Vfl Bochum,Germany,Attack,Left Winger,600000.0,2024-05-31,L1,70,70,184,82,32,Left,73.5,28.5,57.500000,65.000000,68.857143,68.375,10.0
76,Robert Tesche,Vfl Bochum,Germany,Midfield,Central Midfield,250000.0,2023-06-30,L1,69,69,182,78,35,Right,67.5,67.0,67.666667,67.666667,67.000000,66.750,11.2
77,Moritz Romling,Vfl Bochum,Germany,Defender,Left-Back,175000.0,2023-06-30,L1,62,72,186,76,21,Left,60.5,56.5,54.000000,52.333333,72.000000,40.250,9.2
79,Saulo Decarli,Vfl Bochum,Switzerland,Defender,Centre-Back,300000.0,2024-06-30,L1,66,66,188,82,31,Right,53.5,67.5,57.000000,51.000000,60.714286,41.625,10.8
80,Joseph Hungbo,Ross County Fc,England,Attack,Right Winger,450000.0,2024-06-30,SC1,64,72,173,70,23,Left,65.0,31.5,48.666667,59.666667,63.000000,58.000,9.0
81,Oli Shaw,Ross County Fc,Scotland,Attack,Centre-Forward,400000.0,2023-05-31,SC1,63,67,188,72,24,Right,63.0,16.0,45.000000,43.000000,65.142857,54.625,8.4
82,Alex Robertson,Ross County Fc,England,Midfield,Central Midfield,50000.0,2023-06-30,SC1,58,78,180,66,19,Right,61.5,53.0,54.833333,59.000000,60.428571,49.000,8.8
83,Jack Burroughs,Ross County Fc,Scotland,Midfield,Central Midfield,200000.0,2023-06-30,SC1,64,77,188,80,21,Right,62.0,62.5,61.000000,61.666667,67.000000,50.750,10.4
87,Ashley Maynard Brewer,Ross County Fc,Australia,Goalkeeper,Goalkeeper,300000.0,2023-06-30,SC1,63,69,188,76,23,Left,13.5,13.5,25.833333,21.000000,38.857143,13.875,62.8
88,Dickson Abiama,Spvgg Greuther Furth,Nigeria,Attack,Centre-Forward,700000.0,2024-06-30,L1,67,74,184,79,24,Right,67.5,15.0,49.166667,39.333333,73.000000,59.250,9.6
89,Afimico Pululu,Spvgg Greuther Furth,Angola,Attack,Centre-Forward,700000.0,2024-06-30,L1,67,73,175,80,23,Left,71.0,19.0,49.666667,55.333333,79.571429,54.250,9.6
90,Havard Nielsen,Spvgg Greuther Furth,Norway,Attack,Centre-Forward,1500000.0,2024-06-30,L1,71,71,187,82,29,Right,71.5,34.5,66.833333,67.000000,73.142857,62.750,14.4
91,Cedric Itten,Spvgg Greuther Furth,Switzerland,Attack,Centre-Forward,2000000.0,2026-06-30,L1,70,73,190,84,26,Right,67.0,35.5,57.833333,61.333333,70.714286,65.000,8.2
92,Branimir Hrgota,Spvgg Greuther Furth,Sweden,Attack,Centre-Forward,1500000.0,2026-06-30,L1,72,72,185,76,30,Left,76.0,22.5,57.000000,60.666667,68.571429,69.750,9.6
93,Tobias Raschl,Spvgg Greuther Furth,Germany,Midfield,Central Midfield,1000000.0,2024-06-30,L1,69,75,177,75,23,Right,71.0,59.5,65.166667,65.333333,68.428571,51.500,10.4
94,Nils Seufert,Spvgg Greuther Furth,Germany,Midfield,Central Midfield,400000.0,2024-06-30,L1,67,70,182,73,26,Right,70.0,59.5,60.666667,64.333333,64.428571,53.250,9.4
95,Timothy Tillman,Spvgg Greuther Furth,Germany,Midfield,Central Midfield,1200000.0,2023-06-30,L1,68,75,183,74,24,Right,74.5,44.5,59.166667,65.333333,70.142857,49.250,10.6
96,Hans Nunoo Sarpei,Spvgg Greuther Furth,Ghana,Midfield,Defensive Midfield,450000.0,2025-06-30,L1,67,72,178,72,24,Right,65.0,68.0,55.833333,58.333333,69.857143,41.000,10.4
97,Julian Green,Spvgg Greuther Furth,United States,Midfield,Central Midfield,1000000.0,2024-06-30,L1,68,68,173,70,27,Right,72.0,30.5,54.666667,64.666667,72.571429,64.125,10.6
98,Max Christiansen,Spvgg Greuther Furth,Germany,Midfield,Defensive Midfield,1500000.0,2023-06-30,L1,70,73,185,82,26,Right,65.0,64.5,65.666667,64.666667,68.857143,53.000,11.2
99,Luca Itter,Spvgg Greuther Furth,Germany,Defender,Left-Back,1000000.0,2025-06-30,L1,68,73,183,76,24,Left,69.0,67.5,58.333333,65.000000,67.000000,47.000,11.2
100,Simon Asta,Spvgg Greuther Furth,Germany,Defender,Right-Back,900000.0,2024-06-30,L1,68,77,178,75,22,Right,65.5,67.0,57.666667,56.000000,68.428571,36.250,8.4
101,Marco Meyerhofer,Spvgg Greuther Furth,Germany,Defender,Right-Back,1500000.0,2025-06-30,L1,71,72,179,74,27,Right,69.5,68.5,60.166667,62.666667,70.571429,41.500,7.2
102,Abdourahmane Barry,Spvgg Greuther Furth,France,Defender,Centre-Back,500000.0,2025-06-30,L1,64,72,185,78,23,Right,42.5,69.0,49.500000,30.333333,70.714286,32.500,8.4
103,Oliver Fobassam,Spvgg Greuther Furth,Germany,Defender,Centre-Back,300000.0,2024-06-30,L1,61,74,190,92,19,Right,43.0,63.0,43.166667,40.666667,56.571429,35.750,9.0
104,Gideon Jung,Spvgg Greuther Furth,Germany,Defender,Centre-Back,500000.0,2023-06-30,L1,67,68,189,76,28,Right,61.5,67.0,57.166667,58.666667,63.000000,46.000,11.2
105,Sebastian Griesbeck,Spvgg Greuther Furth,Germany,Defender,Centre-Back,600000.0,2023-06-30,L1,71,71,189,85,32,Right,54.0,71.5,64.500000,60.000000,65.571429,48.375,11.0
106,Lasse Schulz,Spvgg Greuther Furth,Finland,Goalkeeper,Goalkeeper,125000.0,2024-06-30,L1,56,71,198,84,19,Right,14.5,11.5,23.500000,18.000000,28.000000,13.875,56.8
107,Leon Schaffran,Spvgg Greuther Furth,Germany,Goalkeeper,Goalkeeper,200000.0,2024-06-30,L1,60,66,186,81,24,Right,14.5,11.0,27.500000,16.333333,35.142857,14.750,59.4
108,Marius Funk,Spvgg Greuther Furth,Germany,Goalkeeper,Goalkeeper,300000.0,2025-06-30,L1,65,68,187,88,27,Right,12.5,9.5,28.000000,15.333333,43.142857,16.000,63.8
109,Andreas Linde,Spvgg Greuther Furth,Sweden,Goalkeeper,Goalkeeper,600000.0,2024-06-30,L1,71,73,196,93,29,Right,19.0,12.5,38.500000,18.666667,44.857143,19.250,70.2
111,Nassim Chadli,Es Troyes Ac,Morocco,Attack,Right Winger,550000.0,2023-06-30,FR1,63,77,181,70,21,Left,70.5,21.5,49.666667,54.666667,61.571429,57.375,8.2
112,Patrick Roberts,Es Troyes Ac,England,Attack,Right Winger,1800000.0,2024-06-30,FR1,70,71,167,66,26,Left,74.5,20.5,54.333333,65.333333,66.857143,58.375,9.2
113,Dylan Chambost,Es Troyes Ac,France,Attack,Attacking Midfield,1200000.0,2024-06-30,FR1,68,73,177,70,25,Left,68.0,54.5,63.333333,68.333333,65.857143,62.125,10.2
115,Gerson Rodrigues,Es Troyes Ac,Luxembourg,Attack,Left Winger,2000000.0,2023-06-30,FR1,71,71,185,85,27,Right,69.5,38.5,63.833333,65.333333,71.714286,63.000,10.6
116,Tristan Dingome,Es Troyes Ac,Cameroon,Midfield,Central Midfield,600000.0,2023-06-30,FR1,70,70,174,71,32,Left,72.0,66.0,69.666667,70.666667,64.142857,62.250,9.8
117,Anas Namri,Es Troyes Ac,Morocco,Defender,Right-Back,100000.0,2023-06-30,FR1,58,71,168,59,21,Right,55.5,58.0,49.166667,47.666667,61.714286,35.375,10.2
118,Oualid El Hajjam,Es Troyes Ac,Morocco,Defender,Right-Back,900000.0,2024-06-30,FR1,72,72,181,72,32,Right,68.0,72.5,66.666667,67.333333,67.428571,48.875,10.2
120,Jimmy Giraudon,Es Troyes Ac,France,Defender,Centre-Back,1000000.0,2024-06-30,FR1,70,70,184,66,31,Right,59.0,72.0,57.666667,63.666667,61.714286,42.750,8.4
121,Jordan Tell,Clermont Foot 63,France,Attack,Centre-Forward,700000.0,2023-06-30,FR1,66,71,185,74,25,Right,65.0,24.5,55.333333,56.666667,63.000000,61.375,7.4
122,Jodel Dossou,Clermont Foot 63,Benin,Attack,Right Winger,1000000.0,2024-06-30,FR1,71,71,180,75,30,Right,69.5,35.5,56.333333,66.333333,75.428571,56.875,12.0
123,Bryan Teixeira,Clermont Foot 63,Cape Verde,Attack,Left Winger,1000000.0,2024-06-30,FR1,69,80,174,73,22,Right,73.0,54.0,61.000000,61.666667,72.571429,60.375,11.6
124,Lucas Da Cunha,Clermont Foot 63,France,Attack,Right Winger,3000000.0,2024-06-30,FR1,69,75,176,69,21,Left,71.0,36.5,58.000000,64.333333,67.428571,63.750,12.0
125,Yadaly Diaby,Clermont Foot 63,France,Attack,Attacking Midfield,400000.0,2023-06-30,FR1,62,68,184,76,22,Right,65.0,33.0,52.500000,54.333333,60.285714,54.500,11.6
126,Jason Berthomier,Clermont Foot 63,France,Attack,Attacking Midfield,900000.0,2025-06-30,FR1,73,73,177,74,33,Left,74.0,52.0,69.833333,75.333333,68.000000,71.375,12.0
128,Yuliwes Bellache,Clermont Foot 63,Algeria,Midfield,Central Midfield,200000.0,2023-06-30,FR1,59,68,175,70,20,Right,68.0,20.0,40.000000,54.000000,56.142857,46.875,11.6
129,Jonathan Iglesias,Clermont Foot 63,Uruguay,Midfield,Central Midfield,400000.0,2023-06-30,FR1,68,68,170,69,34,Right,64.5,65.5,66.333333,67.333333,60.714286,55.250,9.8
130,Arial Mendy,Clermont Foot 63,Senegal,Defender,Left-Back,800000.0,2023-06-30,FR1,68,68,180,75,28,Left,63.0,65.0,60.833333,64.666667,68.142857,39.625,11.4
132,Vital Nsimba,Clermont Foot 63,DR Congo,Defender,Left-Back,2000000.0,2024-06-30,FR1,72,72,169,69,29,Left,68.5,68.0,68.166667,65.333333,78.857143,57.375,8.2
133,Jean Claude Billong,Clermont Foot 63,Cameroon,Defender,Centre-Back,800000.0,2025-06-30,FR1,67,68,192,88,29,Right,42.0,69.5,53.666667,48.000000,54.285714,39.750,8.8
134,Kenny Nagera,Fc Paris Saint Germain,France,Attack,Centre-Forward,300000.0,2023-06-30,FR1,63,74,177,65,21,Right,65.0,20.5,47.500000,49.000000,69.142857,57.125,9.2
135,Arthur Desmas,Clermont Foot 63,France,Goalkeeper,Goalkeeper,1200000.0,2025-06-30,FR1,70,71,196,87,28,Right,17.0,14.0,29.666667,20.333333,35.857143,19.750,70.0
136,Edouard Michut,Fc Paris Saint Germain,France,Attack,Attacking Midfield,2500000.0,2023-06-30,FR1,66,82,178,68,20,Right,71.0,60.5,66.000000,65.000000,58.571429,52.500,10.0
137,Denis Franchi,Fc Paris Saint Germain,Italy,Goalkeeper,Goalkeeper,250000.0,2025-06-30,FR1,61,73,189,81,20,Right,16.5,13.5,26.333333,19.666667,43.428571,15.625,61.0
138,Ablie Jallow,Rfc Seraing,The Gambia,Attack,Right Winger,1000000.0,2025-06-30,BE1,69,74,166,62,24,Left,70.5,37.0,57.166667,64.333333,67.142857,58.125,10.8
139,Maidine Douane,Rfc Seraing,France,Attack,Attacking Midfield,50000.0,2023-06-30,BE1,54,68,175,72,20,Right,61.0,28.0,45.833333,53.000000,55.714286,47.125,11.8
140,Youssef Maziz,Rfc Seraing,France,Attack,Attacking Midfield,1500000.0,2024-06-30,BE1,69,74,175,68,24,Right,72.0,35.0,60.833333,69.333333,65.714286,63.625,10.0
141,Pierre Yves Hamel,Clermont Foot 63,France,Attack,Centre-Forward,800000.0,2026-06-30,FR1,68,68,189,76,29,Right,65.5,22.0,53.000000,57.333333,63.285714,62.000,12.8
142,Kouadio Yves Dabila,Rfc Seraing,Cote d'Ivoire,Defender,Centre-Back,800000.0,2024-06-30,BE1,68,73,183,80,26,Right,54.5,71.5,53.000000,49.000000,59.285714,38.375,11.2
143,Dario Del Fabro,Rfc Seraing,Italy,Defender,Centre-Back,500000.0,2023-06-30,BE1,64,65,190,78,27,Right,45.0,64.0,49.500000,40.000000,64.714286,37.000,3.0
144,Georges Mikautadze,Fc Metz,Georgia,Attack,Centre-Forward,3000000.0,2026-06-30,FR1,71,81,178,72,22,Right,72.5,37.0,60.500000,65.333333,75.285714,68.000,8.4
145,Louis Mafouta,Fc Metz,Central African Republic,Attack,Centre-Forward,800000.0,2025-06-30,FR1,67,67,181,70,28,Right,63.0,25.0,52.666667,46.666667,72.142857,62.750,9.2
146,Warren Tchimbembe,Fc Metz,Congo,Attack,Right Winger,700000.0,2023-06-30,FR1,66,72,180,76,24,Left,67.5,67.0,58.833333,65.333333,66.714286,54.875,11.0
147,Lamine Gueye,Fc Metz,Senegal,Attack,Right Winger,1500000.0,2024-06-30,FR1,70,74,178,74,24,Right,69.5,20.5,53.333333,68.000000,72.000000,67.375,9.6
149,Amine Bassi,Fc Metz,Morocco,Attack,Attacking Midfield,1000000.0,2025-06-30,FR1,66,70,173,69,25,Right,66.5,52.0,61.666667,63.333333,67.857143,62.375,9.6
150,Cheikh Sabaly,Fc Metz,Senegal,Attack,Left Winger,600000.0,2023-06-30,FR1,65,72,168,56,24,Right,65.5,15.0,47.000000,59.666667,69.857143,52.000,13.8
151,Danley Jean Jacques,Fc Metz,Haiti,Midfield,Central Midfield,300000.0,2024-06-30,FR1,75,78,188,97,27,Left,17.5,11.0,28.666667,23.000000,44.857143,35.250,74.2
152,Danley Jean Jacques,Fc Metz,Haiti,Midfield,Central Midfield,300000.0,2024-06-30,FR1,64,77,180,75,22,Left,62.0,62.5,59.166667,61.000000,67.428571,49.750,9.2
154,Kevin N Doram,Fc Metz,France,Midfield,Defensive Midfield,1800000.0,2024-06-30,FR1,65,68,185,77,27,Right,63.5,64.5,62.833333,58.666667,66.285714,48.250,11.6
155,William Mikelbrencis,Fc Metz,France,Defender,Right-Back,1500000.0,2026-06-30,FR1,65,79,176,64,19,Right,60.5,65.0,56.000000,59.333333,69.428571,40.375,10.2
156,Habib Maiga,Fc Metz,Cote d'Ivoire,Midfield,Defensive Midfield,2500000.0,2024-06-30,FR1,70,73,181,80,27,Right,68.0,67.0,66.833333,64.666667,68.857143,57.250,10.2
157,Sofiane Alakouch,Fc Metz,Morocco,Defender,Right-Back,1200000.0,2025-06-30,FR1,67,71,175,66,24,Right,62.5,64.5,63.333333,63.333333,66.571429,43.875,10.2
158,Matthieu Udol,Fc Metz,France,Defender,Left-Back,2000000.0,2024-06-30,FR1,71,74,178,68,26,Left,70.0,71.0,64.166667,65.000000,71.714286,51.750,11.6
159,Fali Cande,Fc Metz,Guinea-Bissau,Defender,Centre-Back,1800000.0,2026-06-30,FR1,70,77,184,77,25,Left,64.0,73.0,62.333333,61.666667,73.285714,57.125,10.2
160,Mamadou Fofana,Fc Metz,Mali,Defender,Centre-Back,2000000.0,2026-06-30,FR1,69,74,186,75,25,Right,60.5,66.5,59.500000,54.333333,70.000000,37.875,11.6
161,Mamadou Fofana,Fc Metz,Mali,Defender,Centre-Back,2000000.0,2026-06-30,FR1,59,67,177,70,22,Right,59.0,51.0,53.500000,63.000000,74.714286,42.500,7.2
162,Ousmane Ba,Fc Metz,Senegal,Goalkeeper,Goalkeeper,400000.0,2025-06-30,FR1,62,76,185,72,20,Right,14.5,10.0,23.333333,18.000000,35.285714,18.125,62.6
163,Alexandre Oukidja,Fc Metz,Algeria,Goalkeeper,Goalkeeper,600000.0,2023-06-30,FR1,72,72,184,80,34,Right,14.5,16.0,36.166667,21.333333,51.571429,21.125,70.8
164,Marc Aurele Caillard,Fc Metz,France,Goalkeeper,Goalkeeper,700000.0,2024-06-30,FR1,68,71,191,87,28,Right,17.5,12.0,29.333333,24.000000,46.857143,16.625,67.8
165,Amadou Salif Mbengue,Fc Metz,Senegal,Defender,Centre-Back,800000.0,2023-01-01,FR1,66,75,180,75,21,Right,53.0,68.0,52.500000,50.666667,68.857143,36.875,8.6
